수업명,요일/시간,선생님,강의실,수업료,정원  ,학년,교재,시작일,종료일
중3S,월수금 17:00-19:00,박지환,본관 4강,"₩300,000",10,중3,"단어: 어휘끝 수능
문법: 천문장 완성
독해: 쎄듀 수능 영어 쇼츠 고난도 유형독해
듣기: 마더텅 MP3 고교영어듣기 모의고사 24회 1학년
제본: 해석연습 완성 (3000원)",,
중3A+1,월수금 17:00-19:00,박정효,본관 6강,"₩300,000",11,중3,"단어: 어휘끝 고교기본
문법: 천문장 기본
독해: 쎄듀 수능 영어 쇼츠 유형독해
듣기: 마더텅 MP3 고교영어듣기 모의고사 24회 1학년
제본: 해석연습 기본 (3000원)",,
중3A+2,"화목 17:00-19:00 
토 13:30-15:30",한지현,별관 6강,"₩300,000",11,중3,"단어: 어휘끝 고교기본
문법: 천문장 기본
독해: 쎄듀 수능 영어 쇼츠 유형독해
듣기: 마더텅 MP3 고교영어듣기 모의고사 24회 1학년
제본: 해석연습 기본 (3000원)",,
중3A1,월수금 17:00-19:00,강택중,본관 8강,"₩300,000",10,중3,"단어: 어휘끝 고교기본
문법: 천문장 기본
독해: 마더텅 수능기출 전국연합 학력평가 20분 미니모의고사 24회 고1 영어
듣기: 마더텅 MP3 고교영어듣기 모의고사 24회 1학년
제본: 해석연습 기본 (3000원)",,
중3A2,"화목 17:00-19:00 
토 14:00-16:00",강택중,본관 8강,"₩300,000",10,중3,"단어: 어휘끝 고교기본
문법: 천문장 기본
독해: 마더텅 수능기출 전국연합 학력평가 20분 미니모의고사 24회 고1 영어
듣기: 마더텅 MP3 고교영어듣기 모의고사 24회 1학년
제본: 해석연습 기본 (3000원)",,
중3B+1,월수금 17:00-19:00,김동엽,별관 3강,"₩300,000",12,중3,"단어: 능률보카 어원편
문법: 천문장 입문
독해: 마더텅 수능기출 전국연합 학력평가 20분 미니모의고사 24회 고1 영어
듣기: 마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 3학년 
제본: 해석연습 입문 (3000원)",,
중3B+2,"화목 17:30-19:30 
토 13:30-15:30",김동엽,별관 3강,"₩300,000",11,중3,"단어: 능률보카 어원편
문법: 천문장 입문
독해: 마더텅 수능기출 전국연합 학력평가 20분 미니모의고사 24회 고1 영어
듣기: 마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 3학년 
제본: 해석연습 입문 (3000원)",,
대기고1B,월수 21:30-23:30,오인환,별관 1강,"₩320,000",12,고1,,,
중앙여고1B,"월 21:30-23:30
금 19:30-21:30",권용재,별관 2강,"₩320,000",12,고1,,,
-,,,,,,,,,
